"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2018922,"C356","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019104,"C190","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046247,"C257a","","",NA,NA
2003269,2046063,"C269a","","",NA,NA
2003269,2019028,"C227","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019265,"C157","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019157,"C049","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044686,"C189a","","",NA,NA
2003269,2044874,"C108b","","",NA,NA
2003269,2019291,"C183","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018997,"C258","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2045958,"C026a","","",NA,NA
2003269,2046198,"C303a","","",NA,NA
2003269,2019179,"C071","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018889,"C267","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040841,"C117a","","",NA,NA
2003269,2046383,"C155a","","",NA,NA
2003269,2046289,"C374b","","",NA,NA
2003269,2019116,"C008","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2040843,"C342a","","",NA,NA
2003269,2018892,"C387","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2044876,"C344b","","",NA,NA
2003269,2018276,"C394","","Browning Strike Force BTC-5HDX",NA,NA
2003269,2039596,"C301a","","",NA,NA
2003269,2040818,"C311a","","",NA,NA
2003269,2019164,"C056","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2018970,"C308","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019270,"C162","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046062,"C228a","","",NA,NA
2003269,2019129,"C021","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019008,"C247","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019133,"C025","","Browning Strike Force BTC-5HDXv",NA,NA
2003269,2046076,"C404a","","",NA,NA
