"project_id","camera_id","camera_name","make","model","serial_number","year_purchased"
2003269,2019193,"C085",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019194,"C086",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019195,"C087",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019196,"C088",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019197,"C089",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019198,"C090",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019199,"C091",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019200,"C092",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019201,"C093",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019202,"C094",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019203,"C095",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019204,"C096",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019205,"C097",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019206,"C098",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019207,"C099",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019208,"C100",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019228,"C120",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019229,"C121",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019231,"C123",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019233,"C125",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019234,"C126",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019235,"C127",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019236,"C128",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019237,"C129",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019238,"C130",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019239,"C131",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019240,"C132",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019241,"C133",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019242,"C134",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019243,"C135",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019244,"C136",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019245,"C137",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019246,"C138",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019248,"C140",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019249,"C141",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019251,"C143",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019253,"C145",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019255,"C147",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019256,"C148",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019257,"C149",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019258,"C150",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019259,"C151",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019260,"C152",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019261,"C153",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019262,"C154",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019263,"C155",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019264,"C156",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019266,"C158",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019267,"C159",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019268,"C160",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019269,"C161",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019270,"C162",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019271,"C163",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019272,"C164",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019273,"C165",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019274,"C166",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019275,"C167",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019276,"C168",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019277,"C169",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019278,"C170",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019279,"C171",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019280,"C172",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019281,"C173",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019282,"C174",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019283,"C175",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019284,"C176",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019285,"C177",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019286,"C178",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019288,"C180",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019289,"C181",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019290,"C182",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019291,"C183",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019292,"C184",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2019293,"C185",NA,"Browning Strike Force BTC-5HDXv",NA,NA
2003269,2039369,"C340b",NA,"",NA,NA
2003269,2039371,"C338a",NA,"",NA,NA
2003269,2039372,"C332a",NA,"",NA,NA
2003269,2039373,"C363a",NA,"",NA,NA
2003269,2039378,"C336a",NA,"",NA,NA
2003269,2039379,"C335a",NA,"",NA,NA
2003269,2039380,"C333a",NA,"",NA,NA
2003269,2039381,"C287a",NA,"",NA,NA
2003269,2039382,"C282a",NA,"",NA,NA
2003269,2039596,"C301a",NA,"",NA,NA
2003269,2039600,"C308a",NA,"",NA,NA
2003269,2039610,"C281a",NA,"",NA,NA
2003269,2040817,"C289a",NA,"",NA,NA
2003269,2040818,"C311a",NA,"",NA,NA
2003269,2040819,"C288a",NA,"",NA,NA
2003269,2040826,"C337a",NA,"",NA,NA
2003269,2040836,"C377a",NA,"",NA,NA
2003269,2040837,"C394a",NA,"",NA,NA
2003269,2040838,"C359a",NA,"",NA,NA
2003269,2040839,"C112a",NA,"",NA,NA
2003269,2040840,"C361a",NA,"",NA,NA
2003269,2040841,"C117a",NA,"",NA,NA
2003269,2040842,"C348a",NA,"",NA,NA
2003269,2040843,"C342a",NA,"",NA,NA
2003269,2040844,"C119a",NA,"",NA,NA
2003269,2040845,"C354a",NA,"",NA,NA
2003269,2040846,"C389a",NA,"",NA,NA
2003269,2040946,"C142a",NA,"",NA,NA
2003269,2040947,"C364a",NA,"",NA,NA
2003269,2040948,"C380a",NA,"",NA,NA
2003269,2040949,"C102a",NA,"",NA,NA
2003269,2040950,"C108a",NA,"",NA,NA
2003269,2040951,"C344a",NA,"",NA,NA
2003269,2040952,"C353a",NA,"",NA,NA
2003269,2040953,"C391a",NA,"",NA,NA
