"project_id","deployment_id","image_id","filename","location","is_blank","identified_by","wi_taxon_id","class","order","family","genus","species","common_name","uncertainty","timestamp","number_of_objects","age","sex","animal_recognizable","individual_id","individual_animal_notes","behavior","highlighted","markings","cv_confidence","license","placename","group_size","temperature"
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-52.JPG","Algar27__2018-05-21__21-45-52.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:52,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-57.JPG","Algar27__2018-05-21__21-45-57.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:57,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-58.JPG","Algar27__2018-05-21__21-45-58.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:58,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-45-59.JPG","Algar27__2018-05-21__21-45-59.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:45:59,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-46-02.JPG","Algar27__2018-05-21__21-46-02.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:46:02,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-46-05.JPG","Algar27__2018-05-21__21-46-05.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:46:05,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-46-10.JPG","Algar27__2018-05-21__21-46-10.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:46:10,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-46-17.JPG","Algar27__2018-05-21__21-46-17.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:46:17,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-21__21-46-19.JPG","Algar27__2018-05-21__21-46-19.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-21 21:46:19,1,"Unidentified","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-22__20-29-39.JPG","Algar27__2018-05-22__20-29-39.JPG","",0,"ERT","",NA,NA,NA,"","spp.","","",2018-05-22 20:29:39,1,"Adult","","","","","","","","","","ALG027",1,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-25__20-40-01.JPG","Algar27__2018-05-25__20-40-01.JPG","",1,"ERT","",NA,NA,NA,"","blank","","",2018-05-25 20:40:01,0,"Unidentified","","","","","","","","","","ALG027",0,NA
"AlgarRestorationProject","ALG027_2018-04-11","Algar27__2018-05-28__04-55-03.JPG","Algar27__2018-05-28__04-55-03.JPG","",0,"ERT","","Mammalia","Carnivora","Ursidae","Ursus","americanus","","",2018-05-28 04:55:03,1,"Adult","","","","","","","","","","ALG027",1,NA
